summary_level,slide,cell_state,if_marker,n_cells,mean_value,median_value,q25,q75,pct_above_slide_q80,other_mean_value,delta_log1p_vs_rest
slide,slide5,TGF/EMT stromal-interface,Mean.CD3,5248,125.612804878049,97,62,175,0.0893673780487805,176.362724069251,-0.148689818697799
slide,slide5,TGF/EMT stromal-interface,Mean.DAPI,5248,3163.41177591463,2913,2068.75,4004.5,0.141768292682927,3419.35701700628,-0.0402981140665872
slide,slide5,TGF/EMT stromal-interface,Mean.MembraneStain,5248,1316.99714176829,946,490,1697.25,0.112614329268293,1824.65740386089,-0.271516074117857
slide,slide5,tumor epithelial-like,Mean.PanCK,14421,4258.90305804036,4399,2213,5677,0.47000901463144,1728.26248170434,2.20717534377602
slide,slide5,tumor epithelial-like,Mean.CD45,14421,76.0886901047084,73,58,95,0,88.7802894779639,-0.0262568183503307
slide,slide5,tumor epithelial-like,Mean.CD3,14421,164.780181679495,132,91,228,0.197004368629083,174.055642032386,0.238775800659266
slide,slide5,tumor epithelial-like,Mean.DAPI,14421,3293.39213646765,3063,2027,4340,0.190208723389501,3430.35390191204,-0.0719944620582149
slide,slide5,tumor epithelial-like,Mean.MembraneStain,14421,2114.94320782193,1547,936,2657,0.252479023646072,1665.50463489998,0.477578501814397
slide,slide5,immune-like,Mean.PanCK,14704,2811.19606909684,1051.5,272,4889.25,0.269858541893362,2209.34087932647,0.358612472327795
slide,slide5,immune-like,Mean.CD45,14704,136.518294341676,125,100,150,0.619763329706202,68.0841908325538,0.717946325332994
slide,slide5,immune-like,Mean.CD3,14704,321.469668117519,261,158,322,0.546109902067465,120.235781103835,0.879062592495416
slide,slide5,immune-like,Mean.DAPI,14704,3722.32780195865,3490,2420,4801.25,0.252584330794342,3283.76106173994,0.161443694376257
slide,slide5,immune-like,Mean.MembraneStain,14704,2795.29821817193,2091.5,1177.75,3607,0.388601741022851,1428.57453227315,0.845907070996224
slide,slide5,other/background,Mean.PanCK,21865,1431.55412760119,844,115,2179,0.0343928653098559,2935.65302396135,-0.921502690678465
slide,slide5,other/background,Mean.CD45,21865,66.4924765607135,56,43,72,0.109124171049623,97.3282114666142,-0.394171033429533
slide,slide5,other/background,Mean.CD3,21865,102.761490967299,80,50,137,0.0297736107935056,214.087249641844,-0.627611704394938
slide,slide5,other/background,Mean.DAPI,21865,3347.04161902584,3094,2025,4421,0.19963411845415,3426.04191128964,-0.0478426503136422
slide,slide5,other/background,Mean.MembraneStain,21865,1195.95083466728,808,421,1483,0.0918820032014635,2135.97143178179,-0.627317150373047
slide,slide5b2,CAF/matrix-like,Mean.PanCK,8347,4261.1628129867,2009,1227.5,3565.5,0,21198.1262182187,-1.28611423109104
slide,slide5b2,CAF/matrix-like,Mean.CD45,8347,130.036180663712,135,93,171,0,257.716681526117,-0.575084578444219
slide,slide5b2,CAF/matrix-like,Mean.CD3,8347,331.723253863664,313,197,443,0.0499580687672218,497.814723153073,-0.288202442556628
slide,slide5b2,CAF/matrix-like,Mean.DAPI,8347,7832.65460644543,7308,5276.5,9906,0.0812267880675692,9548.04931287853,-0.138059730667816
slide,slide5b2,CAF/matrix-like,Mean.MembraneStain,8347,884.891817419432,789,562,1096.5,0.0418114292560201,1438.04823684939,-0.418296858492157
slide,slide5b2,TGF/EMT stromal-interface,Mean.PanCK,7774,27159.5038590172,34308,2777.5,44424.75,0.321198868021611,18337.7702165267,0.713826782299554
slide,slide5b2,TGF/EMT stromal-interface,Mean.CD45,7774,172.13892462053,170,120,220,0,251.614503177046,-0.260067339151221
slide,slide5b2,TGF/EMT stromal-interface,Mean.CD3,7774,415.188963210702,403,270,540,0.159891947517366,486.477425449891,0.0150853323507887
slide,slide5b2,TGF/EMT stromal-interface,Mean.DAPI,7774,9433.28389503473,8902,6344.25,12124.25,0.1917931566761,9343.46563152361,0.0766993461782377
slide,slide5b2,TGF/EMT stromal-interface,Mean.MembraneStain,7774,1301.09480319012,1185,808,1659.75,0.165294571649087,1383.9162387432,0.0323726275279839
slide,slide5b2,tumor epithelial-like,Mean.PanCK,18334,42654.4201483582,43598.5,37270,48646,0.573360968692048,11487.1827047052,2.34421875813352
slide,slide5b2,tumor epithelial-like,Mean.CD45,18334,198.845423802771,203,149,254,0,257.963589808778,-0.0917555028616004
slide,slide5b2,tumor epithelial-like,Mean.CD3,18334,470.844223846406,457,311,606,0.249536380495255,481.618301342002,0.190901548036218
slide,slide5b2,tumor epithelial-like,Mean.DAPI,18334,9713.58121522854,9368,6335,12767.75,0.226846296498309,9232.91935278842,0.0591455686076596
slide,slide5b2,tumor epithelial-like,Mean.MembraneStain,18334,1553.71522853714,1410,1000,1893,0.249809097850987,1315.69119436323,0.282810067917722
slide,slide5b2,immune-like,Mean.PanCK,28032,14891.1446561073,3038.5,1508,31373.25,0.148722888127854,21978.9341180101,-0.567802029747186
slide,slide5b2,immune-like,Mean.CD45,28032,382.858090753425,328,255,419,0.524115296803653,156.905265710066,0.918433327314741
slide,slide5b2,immune-like,Mean.CD3,28032,596.382420091324,441,300,619,0.262628424657534,406.355462981331,0.345264802065255
slide,slide5b2,immune-like,Mean.DAPI,28032,10689.3110373858,10008,6900.75,13710.25,0.280037100456621,8527.30280588067,0.273069192238465
slide,slide5b2,immune-like,Mean.MembraneStain,28032,1629.79787385845,1361,908,2027,0.287385844748858,1217.80264056955,0.332237305987322
